order_id,trade_id,broker,symbol,isin,matched_qty,status,execution_slippage,allocated_brokerage,allocated_stt,total_cost
CLIENT1356,11,BROKER1CODE,RELIANCE,INE002A01018,282,Matched,0,135.33,283.41,443158.74
CLIENT006,11,BROKER1CODE,RELIANCE,INE002A01018,520,Matched,0,249.55,522.6,817172.15
CLIENT004,11,BROKER1CODE,RELIANCE,INE002A01018,575,Matched,0,275.95,577.88,903603.82
CLIENT1186,11,BROKER1CODE,RELIANCE,INE002A01018,700,Matched,0,335.93,703.5,1100039.43
CLIENT1176,11,BROKER1CODE,RELIANCE,INE002A01018,700,Matched,0,335.93,703.5,1100039.43
CLIENT1188,11,BROKER1CODE,RELIANCE,INE002A01018,725,Matched,0,347.93,728.62,1139326.56
CLIENT070,11,BROKER1CODE,RELIANCE,INE002A01018,698,Partial,28,334.97,701.49,1096896.46
CLIENT1356,16,BROKER2CODE,RELIANCE,INE002A01018,282,Matched,0,141.57,279.82,437521.39
CLIENT006,16,BROKER2CODE,RELIANCE,INE002A01018,520,Matched,0,261.05,515.98,806777.03
CLIENT004,16,BROKER2CODE,RELIANCE,INE002A01018,575,Matched,0,288.66,570.55,892109.21
CLIENT1186,16,BROKER2CODE,RELIANCE,INE002A01018,700,Matched,0,351.41,694.59,1086046.0
CLIENT1176,16,BROKER2CODE,RELIANCE,INE002A01018,700,Matched,0,351.41,694.59,1086046.0
CLIENT1188,16,BROKER2CODE,RELIANCE,INE002A01018,725,Matched,0,363.96,719.39,1124833.36
CLIENT070,16,BROKER2CODE,RELIANCE,INE002A01018,428,Partial,298,214.86,424.69,664039.55
CLIENT1356,20,BROKER3CODE,RELIANCE,INE002A01018,282,Matched,0,140.44,276.61,430467.05
CLIENT006,20,BROKER3CODE,RELIANCE,INE002A01018,520,Matched,0,258.97,510.07,793769.03
CLIENT004,20,BROKER3CODE,RELIANCE,INE002A01018,575,Matched,0,286.36,564.01,877725.37
CLIENT1186,20,BROKER3CODE,RELIANCE,INE002A01018,633,Partial,67,315.24,620.91,966261.15
CLIENT1356,21,BROKER4CODE,RELIANCE,INE002A01018,282,Matched,0,11.28,22.56,430083.84
CLIENT006,21,BROKER4CODE,RELIANCE,INE002A01018,520,Matched,0,20.8,41.6,793062.4
CLIENT004,21,BROKER4CODE,RELIANCE,INE002A01018,575,Matched,0,23.0,46.0,876944.0
CLIENT1186,21,BROKER4CODE,RELIANCE,INE002A01018,700,Matched,0,28.0,56.0,1067584.0
CLIENT1176,21,BROKER4CODE,RELIANCE,INE002A01018,700,Matched,0,28.0,56.0,1067584.0
CLIENT1188,21,BROKER4CODE,RELIANCE,INE002A01018,725,Matched,0,29.0,58.0,1105712.0
CLIENT070,21,BROKER4CODE,RELIANCE,INE002A01018,726,Matched,0,29.04,58.08,1107237.12
CLIENT1243,21,BROKER4CODE,RELIANCE,INE002A01018,780,Matched,0,31.2,62.4,1189593.6
CLIENT1218,21,BROKER4CODE,RELIANCE,INE002A01018,825,Matched,0,33.0,66.0,1258224.0
